source_genesymbol,target_genesymbol,interaction_type
Nfkb2,Enpp2,->
Il18,Cd48,->
Pparg,Mcm7,-|
Insr,Ptprf,->
Ptprf,Lrfn5,->
Nfkb1,Tnfrsf4,->
Ar,Taf1,->
Casp8,Fadd,->
Mycn,Dusp8,->
Rela,Bcl2,->
Foxo3,Tgfb2,->
Esr1,Ywhaq,->
Irf3,Il6,->
Rela,Mcl1,->
Nfatc1,Hnf4a,->
Hnf4a,Hnf1b,->
Hnf1b,Mib1,->
Rela,Egf,->
Ikbke,Faf1,->
Insr,Lck,->
Lck,Btla,->
Esr1,Vdr,->
Akt1,Phb1,->
Irf3,Il15,->
Nr4a1,Hdac9,->
Rela,Tgfb1,->
Mycn,Oasl1,->
Esr1,Xbp1,->
Esr1,Tfap2c,->
Creb1,Tcf3,->
Foxo3,Sdc2,->
Nfkb1,Irf8,->
Fgf2,Fgfrl1,->
Myc,Rpl13a,->
Akt1,Ezh2,-|
Irf3,Ifng,->
Foxo3,Bnip3l,->
Foxa2,Pax6,-|
Nfkb1,Ep300,->
Traf2,Zfp36,->
Atf4,Fus,->
Esr1,Etv4,->
Rel,Krt14,->
Foxo3,Id2,->
Esr1,Rxra,->
Rxra,Nr2f1,->
Esr1,Sumo1,->
Sumo1,Elf4,-|
Rela,Pin1,-|
Tp53,Ywhag,->
Casp3,Rock1,->
Tnf,Celsr2,->
Tp53,Smad2,->
Rela,Mylk,->
Mylk,Myl9,->
Casp8,Traf1,->
Rela,Ppara,-|
Ncoa3,Cdk1,->
Akt1,Ar,->
Ar,Nr5a1,->
Foxo3,Klf6,->
Rela,Twist1,->
Akt1,Bmi1,->
Cdk2,Kdm6a,->
Kdm6a,Hoxc4,->
Rela,Tnfsf15,->
Tfap2a,Mxi1,->
Akt1,Diablo,->
Irf7,Foxp3,->
Esr1,Spi1,->
Mtor,Tfeb,-|
Tnfrsf17,Ly9,->
Rela,Pgr,-|
E2f3,Neo1,->
Traf6,Malt1,->
Nfkb2,Zfp398,->
Zfp398,Znf354c,->
Rela,Tp53bp2,->
Rela,Hmox1,->
Mitf,Tbx2,->
Notch1,Pax8,->
Gsk3a,Gata6,-|
Esr1,Nr1h3,->
Dapk1,Rps6,-|
Stat6,Il13ra2,->
Irf7,Cysltr2,->
Cysltr2,Gnai3,->
Nfkb1,Lgals1,->
Chuk,H3c6,->
Stat6,Tnfsf11,->
Tnfsf11,Lgr4,->
Ikbkb,Cdkn2a,-|
Btrc,Atf2,-|
Rela,Casp9,->
Tp53,Nfyb,-|
Rela,Bnip3,-|
Ar,Nkx3-1,->
Nfatc1,Id3,->
Id3,Tcf12,-|
Myc,Tfdp1,->
Rela,Tnfsf11,->
Ikbke,Irf7,->
Myc,Ybx2,->
Rela,Bax,-|
Foxo3,Gtf2i,->
Gtf2i,Usf2,->
Mapk14,Usf1,->
Rela,Pink1,->
Esr1,Tnfrsf13c,->
Foxo3,Satb1,->
Rela,Il6,->
Il6,Il6st,->
Mapk3,Spib,->
Rela,Igf1r,-|
Akt1,Ybx1,->
Esr1,Prkdc,->
Dapk1,Dapk3,->
Dapk3,Trip12,->
Akt1,Stk4,-|
Rela,Gata3,->
Rela,Ccnd2,->
Rela,Ctsb,->
Esr1,Notch4,->
Notch4,Unc5b,->
Rela,Ltb,->
Tp73,Trp53inp1,->
