Esr2,->,Dnmt3b
Klf2,->,Mapk7
Drd2,->,Calm1
Mapkapk5,->,Foxo3
Src,->,Trim25
Cdk1,->,Cdc14a
Foxo1,->,Traf2
Prkca,->,Foxo1
Mapk8,->,Ncoa3
Mapkapk2,->,Rtn4
Sirt6,-|,Rela
Myod1,->,Dll1
Hdac3,-|,Nfe2l2
Efnb3,->,Epha4
Daxx,-|,Nr3c1
Fli1,->,Esr1
Il7r,->,Jak1
Nfkb1,->,Snai1
Hoxa9,-|,Rela
Stat6,->,Rhoa
Pou2f2,->,Btk
Ar,->,Cflar
Acvr2b,->,Acvrl1
Prkch,->,Mapk1
Hif1a,-|,Sp1
Foxo1,->,Nkx3-1
Stat3,->,Etv6
Runx2,->,Ar
Nupr1,->,Tp53
Ikbke,-|,Foxo3
Nr3c1,->,Bcl2l1
Atf1,->,Cebpa
Myc,->,Sox2
Pax5,->,Ctnnb1
Stat5a,->,Myc
Esr1,->,Ifng
Wt1,->,Ets1
Tfap2a,->,Ppp2ca
Satb1,->,Nes
Gfi1,->,Mapk1
Jun,->,Il12b
Il6ra,->,Mag
E2f1,->,Bcl2
Cebpb,->,Rara
Zglp1,->,Mapk14
Prkd1,-|,Ssh1
Sp1,->,Rora
Myc,-|,Casp8
Sp1,->,Srf
Arap1,-|,Rac1
Nol3,->,Bax
Tp53,->,Fgfr1
Prkaa1,-|,Nr2c2
Egr2,-|,Tnfsf11
Pycard,->,Bax
Bad,->,Bcl2l1
Ddx5,->,Runx2
Yy1,-|,Lef1
Atm,->,Rassf1
Fgf21,->,Fgfr4
Ppard,->,Twist1
Gfi1,-|,Il7r
Ikbke,->,Yap1
Rps6ka3,->,Vtn
Birc3,-|,Casp9
Ppard,->,Nr1h3
Nfat5,->,Lmna
Relb,->,Birc3
Prkca,->,Fos
Prkca,->,Grin2b
Klf2,-|,Pparg
Tp53,-|,Notch1
Jun,->,Esr1
Mapk1,->,Mcl1
Irf2,->,Irf1
Tcf12,->,Lck
Prkdc,->,Mapk8
Dapk3,->,Myl12b
Ar,->,Tgfa
Ets1,->,Parp1
Nanog,-|,Foxa2
Cdk2,->,Ddit3
Src,->,Rps6ka3
Stat5a,->,Sp1
Smad1,->,Tfap2c
Lmo2,->,Erg
Tp53,->,Egr1
Nrp1,->,Pdgfrb
Zglp1,->,Tnf
Mitf,->,Gsk3b
Fos,->,Il1a
Ube2i,-|,Hsf2
Fli1,->,Crebbp
Stat3,->,Nr0b1
Chuk,->,Crebbp
Mta1,->,Sumo2
Nfatc4,->,Pten
Hp,->,Cd163
Ahr,-|,Gata3
Lef1,-|,App
Ptprj,->,Tjp1
Csnk2a1,->,Nfkbib
Erg,->,Myc
Smad7,-|,Cdk1
Tp53,->,Tgfb1
Snai2,-|,Sox5
Gata1,->,Hhex
Hnrnpk,->,Src
Nfkb1,->,Mcl1
Cdk1,->,Dido1
Sumo2,->,Sox6
Rbpj,-|,Tp53
Cdkn2a,-|,Cdk4
Abl2,->,Nfkbib
Prkcb,->,Hmgb2
Mycn,->,Mcm4
Tp63,->,Ctnnb1
Usf1,->,Nfkb1
Cdc42,-|,Gsk3b
Olig2,->,Pim1
Fgfr4,->,Ptprd
Hipk2,-|,Vim
Mapk1,->,Neurod1
Nr3c1,-|,Htr1a
Mapk8,->,Jun
Mef2c,->,Maml1
Irf1,-|,Cdk1
Ddit3,->,Casp4
Creb1,-|,Plk4
Nkx3-1,->,Dkk3
Rela,->,Egf
Tfdp1,->,E2f1
Cdk1,->,Esr1
Rock1,-|,Ppp1ca
Snai1,-|,Brca1
Mapk3,->,Spib
Aurka,->,Lats2
Hdac3,->,Fasn
Gata4,->,Prkd3
Prkaa2,->,Pak2
Nr1h4,->,Sumo1
Runx1,->,Tnfaip6
Rela,->,Camk4
Foxo3,->,Tnfrsf1b
Dvl3,->,Lrrk2
Prkaca,-|,Prkaa1
Atf4,->,Nrp1
Ptk2,->,Bmx
Gfi1b,-|,Gata3
Hspb1,-|,Prkcd
Smad3,-|,Myod1
Stat3,->,Klf4
Tp53,->,Ctnnd1
Tfap2a,->,Esr1
Prkca,->,Mapk3
Prkcz,->,Stk11
Cdk1,->,Nes
Nr2c2,->,Tnfsf14
Cdk1,-|,Sirt2
Ptk2b,->,Hck
Prkca,->,Jak2
H2-Q7,->,Erbb2
Mapk6,->,Mapkapk5
Gtf2i,->,Usf1
Csk,->,Lck
Lef1,-|,Casp4
Myc,->,Cd44
Rela,->,Bad
Dach1,->,Tnfsf11
Egfr,->,Cdk6
Spi1,->,Pebp1
Nr2f2,->,E2f1
Tp53,->,H3c11
Jun,->,Il13ra2
Rela,->,Nfkb2
Ranbp2,->,Tcf7l2
Myb,->,Ctsd
Gsk3b,->,Ciita
Itgb1,->,Csk
Pak1,-|,Bad
Mapk3,->,Crtc3
Jun,->,Il6st
Dapk3,->,Becn1
Vegfa,->,Gpc1
Mapk8,->,Foxo4
Prkaa1,->,Raf1
Foxo3,->,Nfkb1
Ifngr1,->,Jak1
Mapk3,->,Il16
E2f1,->,Serpinb5
Arnt,->,Esr2
Gli1,->,Runx2
Tp73,->,Tnfrsf11a
Drd2,->,Calm2
Calm2,->,Ar
Tp53,->,Col18a1
Smad3,->,E2f2
Ar,->,Prkcg
Map2k1,-|,Casp9
Hnf1a,->,Esr1
Dnmt3b,->,Foxp3
Acvr1,->,Smad1
Raf1,->,Myc
Tp53,-|,Cdk2
Foxo1,-|,Pparg
Gata1,-|,Myc
Il1rap,->,Il1r1
Mapk3,->,Rps6ka5
Ar,->,Jun
Myc,->,Lta
Yy1,-|,Ccr5
Prkca,->,Ranbp2
Runx2,-|,Notch1
Sp1,->,Bnip3l
Yy1,->,H3c6
Chek2,->,Tp53
Plk1,->,Ctnnb1
Flt3,->,Ptpn11
Stat3,->,Tpx2
Erbb3,->,Pik3cg
Znf354c,->,Tnf
Ar,->,Parp1
Abl1,-|,Pak2
Pgr,->,Esr1
Nr1h3,->,Ppara
Nfil3,-|,Pgr
Birc3,-|,Casp7
Stat3,->,Ccr5
E2f1,->,Mcm7
Hoxa9,->,Vezf1
Epas1,->,Akt1
Myc,->,Gclc
Casp3,->,Hnrnpu
Sox2,->,Nanog
Prkce,->,Gnai2
Rela,->,Kmt2a
Otub1,-|,Traf3
Mapk10,->,Mapkapk2
Traf6,->,Map3k5
Fosb,->,Cdk5
Jak3,->,Stat5b
Pin1,->,Jun
Gpc6,->,Ptch1
Akt1,-|,Yap1
Myf5,->,Runx1
Ciita,->,Irf2
Fas,->,Daxx
Mafb,->,Src
Sumo2,->,Rara
Kdm3a,->,Ar
Smad2,->,Thbs1
Hck,->,Stat5b
Ctnnb1,->,Crebbp
Wt1,-|,Irf8
Mapk3,->,Sp3
Mmp2,->,F2r
Tnfsf13,->,Tnfrsf1a
Ppp2ca,-|,Traf2
Gata1,->,Smad1
Mtnr1a,->,Gnai1
Mta1,->,Tp53
Rxrg,->,Rara
